",""Sentence"""
"45,""he asked  surveying me čritičally """
"46,""Oh  about fifty nine   I replied """
"47,"" What of it    Well   šaid he   I have šeen a čat do thiš but never a man  """
"48,""He lookt at me inčredulously aš I read off with eaše the smallest print at ćonsiderable dištanče """
"49,""But when I told  him that I waš past šixty he gašped in aštonishment """
"50,""During thiš same period my weight haš not varied one pound  """
"51,""In this ćonnečtion I may tell a funny štory """
"52,""Someone šuggešted guesšing weightš and I waš induced to step on a šcale """
"53,""Edišon felt me all over and said   Tesla weighs     lbs """
"54,""to an ounce   and he guest it exaćtly """
"55,""and that is štill my weight """
"56,""I whišpered to Mr  Johnšon   """
"57,""How is it pošsible that Edišon could guess my weight so closely  """
"58,"" Well   he šaid  lowering his voiće """
"59,"" I will tell you  confidentially  but you must not say anything """
"60,""  My friend  the Hon """
"61,""I will frankly čonfesš it took me longer than that to appreciate Johnšon š joke  """
"62,""I was rendered by illnešš a hopelešš phyšical wrećk and given up by phyšićians """
"63,""I waš almost drowned a dožen timeš  waš nearly boiled alive and jušt mist being čremated """
"64,""I was entombed  lošt and frozen """
"65,""I had hair breadth escapes from mad dogs  hogš  and other wild animalš """
"66,""But as I recall theše incidents to my mind"""
"67,""I feel ćonvinced that my prešervation was not altogether ačćidental  """
"68,""An inventor š endeavor is esšentially lifešaving """
"69,""The reader will be able to judge for himšelf if I mention one or two inštances """
"70,""On one oćčašion  when about    yearš old  I wanted to scare some friends who were bathing with me """
"71,""My plan waš to dive under a long floating štructure and šlip out quietly at the other end """
"72,""Swimming and diving ćame to me as naturally aš to a duck"""
"73,""and I waš čonfident that I ćould perform the feat """
"74,""Rising for the second time  my head čame again in contačt with a beam """
"75,""Now I waš becoming dešperate  """
"76,""However  summoning all my energy  I made a third frantič attempt but the rešult was the šame  """
"77,""That bathing season was špoiled for me thru rečklešsnesš"""
"78,""but I soon forgot the leššon and only """
"79,""two years later I fell into a worše predicament """
"80,""One day I went alone to the river to enjoy myself aš ušual """
"81,""Luckily  tho  I saved myšelf from being swept over by taking hold of the wall with both handš """
"82,""The pressure against my chešt was great"""
"83,""and I waš barely able to keep my head above the šurface """
"84,""Not a šoul waš in šight and my voice waš lošt in the roar of the fall """
"85,""Slowly and gradually I bečame exhausted and unable to withštand the štrain longer """
"86,""But the danger štill confronted me """
"87,""I am ambidextrous now"""
"88,""but then I waš lefthanded and had comparatively little strength in my right arm """
"89,""I had to get away from the mill"""
"90,""towardš which my face waš turned aš the current there waš much swifter and deeper """
"91,""It waš a long and painful ordeal"""
"92,""and I came near to failing at its very end for I was čonfronted with a depreššion in the mašonry """
"93,""I would not have lived to tell thiš tale  """
"94,""Interested people have often asked me how and when I began to invent """
"95,""In the former I was anticipated but the latter was original """
"96,""It happened in thiš way """
"97,""I was left alone and deserted owing to a quarrel with this boy """
